"","RecordID","RecordSubID_old","RecordSubID_new","Treatment","Treatment_Type","TimeSinceFire_years","Study_Severity","Authors","Title","DOI","StudyType","VegCover","GFEDVegCover","Region","Lat","Lon","LiveC_Binary_Measurements","DeadC_Binary_Measurements","SoilC_Binary_Measurements","GPP_Binary_Measurements","Respiration_Binary_Measurements","NEP_Binary_Measurements","NPP_Binary_Measurements","VegChange_Binary_Measurements","N_Binary_Measurements","MCB_Binary_Measurements","Emissions_Binary_Measurements","Mortality_Binary_Measurements","LiveC_units_StockData","DeadC_units_StockData","SoilC_units_StockData","SoilDepth_cm_StockData","MCB_units_StockData","Roots_units_StockData","TotalBG_units_StockData","TotalAG_units_StockData","TEC_Units_StockData","NPP_units_FluxData","GPP_units_FluxData","Resp_units_FluxData","NEP_units_FluxData","EmissionsUnits_EmissionsData","Description_StockData","Description_text_StockData","LiveC_StockData","DeadC_StockData","TotalSoilC_StockData","MCB_StockData","RootC_StockData","TotalBelowgroundC_StockData","TotalAbovegroundC_StockData","TEC_StockData","NPP_FluxData","ANPP_FluxData","BNPP_FluxData","GPP_FluxData","Sresp_FluxData","Ra_FluxData","Rh_FluxData","Reco_FluxData","NEP_FluxData","NBP_FluxData","LiveC_EmissionsData","DeadC_EmissionsData","TotalAboveC_EmissionsData","TotalBelowC_EmissionsData","PyrogenicC_EmissionsData","TotEmissions_EmissionsData","UniqueID","Biome","Biome_simple","LiveC_StockData_MgC_ha","DeadC_StockData_MgC_ha","TotalSoilC_StockData_MgC_ha","TotalSoilC_StockData_MgC_ha_scaled","TotalSoilC_StockData_percent","MCB_StockData_percent","RootC_StockData_MgC_ha","TotalBelowgroundC_StockData_MgC_ha","TotalBelowgroundC_StockData_percent","TotalAbovegroundC_StockData_MgC_ha","TotalAbovegroundC_StockData_percent","TEC_StockData_MgC_ha","NPP_FluxData_g_m2","NPP_FluxData_g_m2_unit","ANPP_FluxData_g_m2","ANPP_FluxData_g_m2_unit","BNPP_FluxData_g_m2","BNPP_FluxData_g_m2_unit","GPP_FluxData_g_m2","GPP_FluxData_g_m2_unit","Sresp_FluxData_g_m2","Sresp_FluxData_g_m2_unit","Ra_FluxData_g_m2","Ra_FluxData_g_m2_unit","Rh_FluxData_g_m2","Rh_FluxData_g_m2_unit","Reco_FluxData_g_m2","Reco_FluxData_g_m2_unit","NEP_FluxData_g_m2","NEP_FluxData_g_m2_unit","NBP_FluxData_g_m2","NBP_FluxData_g_m2_unit","LiveC_EmissionsData_g_m2","DeadC_EmissionsData_g_m2","TotalAboveC_EmissionsData_g_m2","TotalBelowC_EmissionsData_g_m2","PyrogenicC_EmissionsData_g_m2","TotEmissions_EmissionsData_g_m2"
"183",1498,3,9,"Burn","Burned",1,"Mixed","Walker, Xanthe J.; Baltzer, Jennifer L.; Bourgeau-Chavez, Laura; Day, Nicola J.; Dieleman, Catherine M.; Johnstone, Jill F.; Kane, Evan S.; Rogers, Brendan M.; Turetsky, Merritt R.; Veraverbeke, Sander; Mack, Michelle C.","Frontiers | Patterns of Ecosystem Structure and Wildfire Carbon Combustion Across Six Ecoregions of the North American Boreal Forest (frontiersin.org)","10.3389/ffgc.2020.00087","Wildfire","Picea mariana","BORF","Taiaga Plains",62.41668,-123.235513,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,"gC_per_m2","gC_per_m2","gC_per_m2",NA,NA,NA,NA,"gC_per_m2","Burned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.7,2910.9,NA,3308.6,"1498_3","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,397.7,2910.9,NA,3308.6
"184",1498,4,4,"Control","PreFire",1,"Mixed","Walker, Xanthe J.; Baltzer, Jennifer L.; Bourgeau-Chavez, Laura; Day, Nicola J.; Dieleman, Catherine M.; Johnstone, Jill F.; Kane, Evan S.; Rogers, Brendan M.; Turetsky, Merritt R.; Veraverbeke, Sander; Mack, Michelle C.","Frontiers | Patterns of Ecosystem Structure and Wildfire Carbon Combustion Across Six Ecoregions of the North American Boreal Forest (frontiersin.org)","10.3389/ffgc.2020.00087","Wildfire","Picea mariana","BORF","Taiga Shield",62.820889,-119.016763,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,"gC_per_m2","gC_per_m2","gC_per_m2",NA,NA,NA,NA,"gC_per_m2","PreFire",NA,NA,NA,NA,NA,NA,11577.1,875.5,12452.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1498_4","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,115.771,NA,8.755,NA,124.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",1498,4,10,"Burn","Burned",1,"Mixed","Walker, Xanthe J.; Baltzer, Jennifer L.; Bourgeau-Chavez, Laura; Day, Nicola J.; Dieleman, Catherine M.; Johnstone, Jill F.; Kane, Evan S.; Rogers, Brendan M.; Turetsky, Merritt R.; Veraverbeke, Sander; Mack, Michelle C.","Frontiers | Patterns of Ecosystem Structure and Wildfire Carbon Combustion Across Six Ecoregions of the North American Boreal Forest (frontiersin.org)","10.3389/ffgc.2020.00087","Wildfire","Picea mariana","BORF","Taiga Shield",62.820889,-119.016763,1,1,1,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,"gC_per_m2","gC_per_m2","gC_per_m2",NA,NA,NA,NA,"gC_per_m2","Burned",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.7,3060.8,NA,3245.5,"1498_4","Boreal Forests/Taiga","AlpineBorealForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,184.7,3060.8,NA,3245.5
"186",253,1,1,"Control","Unburned",1,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","AcaciaPlantation","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Unburned","SuccessionalTrajectoryFromFireHistoryStudy",7266,900,2100,NA,NA,2300,NA,15845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_1",NA,NA,72.66,9,21,21,NA,NA,NA,23,NA,NA,NA,158.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",253,2,2,"Control","Unburned",4,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","DeadTreesGrassland","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Unburned","SuccessionalTrajectoryFromFireHistoryStudy",7266,900,2100,NA,NA,2300,NA,15845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_2",NA,NA,72.66,9,21,21,NA,NA,NA,23,NA,NA,NA,158.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",253,3,3,"Control","Unburned",25,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","Grassland","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Unburned","SuccessionalTrajectoryFromFireHistoryStudy",7266,900,2100,NA,NA,2300,NA,15845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_3",NA,NA,72.66,9,21,21,NA,NA,NA,23,NA,NA,NA,158.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189",253,1,4,"Burn","Burned",1,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","AcaciaPlantation","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Burned","ConvertedToInvadedWithGrasses",6750,600,2000,NA,NA,2200,NA,13892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_1",NA,NA,67.5,6,20,20,NA,NA,NA,22,NA,NA,NA,138.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",253,2,5,"Burn","Burned",4,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","DeadTreesGrassland","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Burned","ConvertedToStandingDeadWGrasses",889,1978,1800,NA,NA,2050,NA,9344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_2",NA,NA,8.89,19.78,18,18,NA,NA,NA,20.5,NA,NA,NA,93.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",253,3,6,"Burn","Burned",25,"Mixed","Cheng, Chih-Hsin; Chen, Yung-Sheng; Huang, Yu-Hsuan; Chiou, Chyi-Rong; Lin, Chau-Chih; Menyailo, Oleg V.","Effects of repeated fires on ecosystem C and N stocks along a fire induced forest/grassland gradient - Cheng - 2013 - Journal of Geophysical Research: Biogeosciences - Wiley Online Library","10.1111/1365-2745.13963","Wildfire","Grassland","SAVA","Taiwan",23.6,123.2,1,1,1,0,0,0,0,1,1,0,0,0,"gC_per_m2","gC_per_m2","gC_per_m2",5,NA,NA,"gC_per_m2",NA,"gC_per_m2",NA,NA,NA,NA,NA,"Burned","ConverntedToGrassland",500,0,1200,NA,NA,1375,NA,5138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"253_3",NA,NA,5,0,12,12,NA,NA,NA,13.75,NA,NA,NA,51.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",1524,1,1,"Control","PreFire",2,"Mixed","Wardlaw, Tim","Measuring a Fire. The Story of the January 2019 Fire Told from Measurements at the Warra Supersite, Tasmania","10.3389/ffgc.2020.00087","Wildfire","eucalypt forest","TEMF","Australia",-43.543,-146.3919,1,1,0,0,0,0,0,1,0,0,0,0,"metric_ton_per_hectare",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PreFire",NA,730,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1524_1",NA,NA,350.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",693,1,1,"Control","Unburned",0.3,"Mixed","Kaptanoglu, Aliye Sepken; Namli, Ayten","Wildfire and harvesting effects on carbon dynamics in an oak-pine mixed forest","10.3832/ifor3312-013","Wildfire","oak-pine mixed forest","TEMF","Turkey",41.1611,32.3741,0,0,1,0,1,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mgCO2_per_gram_per_hr",NA,NA,"Unburned","4 months post-fire",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"693_1","Temperate Broadleaf & Mixed Forests","TemperateForest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
