RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire,Study_Severity,Authors,Title,DOI,StudyType,VegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,TreeAge_Binary_Measurements,Photosynthesis_Binary_Measurements,Sapflow_Binary_Measurements,NPP_Binary_Measurements,GPP_Binary_Measurements,NEP_Binary_Measurements,Ra_Binary_Measurements,NSC_Binary_Measurements,FoliarN_Binary_Measurements,WoodN_Binary_Measurements,PyCChar_Binary_Measurements,Emissions_Binary_Measurements,Regeneration_Binary_Measurements,BAI_treecores_Binary_Measurements,Isotopes_Binary_Measurements,MRT_Binary_Measurements,LiveC_units_StockData,PyC_units_StockData,DeadC_units_StockData,LitterC_units_StockData,TEC_units_StockData,ANPP_units_FluxData,GPP_units_FluxData,Ra_units_FluxData,NPP_units_FluxData,NEP_units_FluxData,Reco_units_FluxData,Photosynthesis_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionNote_StockData,LiveWoodC_StockData,FoliageC_StockData,TotalLive_StockData,PyC_StockData,CWDC_StockData,FWDC_StockData,LitterC_StockData,TotalDead_StockData,TotalAboveground_StockData,TEC_StockData,ANPP_FluxData,GPP_FluxData,Ra_FluxData,NPP_FluxData,NEP_FluxData,Reco_FluxData,Photosynthesis_num_FluxData,LiveC_Emissions,DeadC_Emissions,ForestFloor_Emissions,LeafLitter_Emissions,TotalAbovegroundC_Emissions,Vcmax_text_Burned1_FluxData,Photosynthesis_text_Burned1_FluxData,BAI_text_Burned1_FluxData,UniqueID,LiveWoodC_StockData_MgC_ha,FoliageC_StockData_MgC_ha,TotalLive_StockData_MgC_ha,TotalAboveground_StockData_MgC_ha,PyC_StockData_MgC_ha,CWDC_StockData_MgC_ha,FWDC_StockData_MgC_ha,TotalDead_StockData_MgC_ha,LitterC_StockData_MgC_ha,TEC_StockData_MgC_ha,LiveWoodC_StockData_percent,FoliageC_StockData_percent,TotalLive_StockData_percent,TotalAboveground_StockData_percent,LitterC_StockData_percent,Biome,Biome_simple,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,Photosynthesis_FluxData_g_m2,Photosynthesis_FluxData_g_m2_unit
1557,7,7,Control,Unburned,200,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989351,1,1,Old,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,Unburned,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,1557_7,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,19.5763,yr,,,,
1557,8,8,Control,Unburned,200,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Old,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,Unburned,,,,,,,,,,,,,,,,1.63,,,,,,,,,,,1557_8,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,19.5763,yr,,,,
1557,1,9,Burn,ModFrequency,5,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989351,1,1,Seedling,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,-5,,,,,,,,,,,1557_9,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,-60.05,yr,,,,
1557,2,10,Burn,ModFrequency,5,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Seedling,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,-10,,,,,,,,,,,1557_10,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,-120.1,yr,,,,
1557,3,11,Burn,ModFrequency,20,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989351,1,1,Young,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,1557_11,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,30.025,yr,,,,
1557,4,12,Burn,ModFrequency,20,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Young,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,-1,,,,,,,,,,,1557_12,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,-12.01,yr,,,,
1557,5,13,Burn,ModFrequency,70,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989351,1,1,Mature,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,5,,,,,,,,,,,1557_13,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,60.05,yr,,,,
1557,6,14,Burn,ModFrequency,70,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Mature,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,2.5,,,,,,,,,,,1557_14,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,30.025,yr,,,,
1557,7,15,Burn,ModFrequency,200,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-vaccinium,Siberia,61.560837,89.989351,1,1,Old,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,3,,,,,,,,,,,1557_15,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,36.03,yr,,,,
1557,8,16,Burn,ModFrequency,200,High,"Wirth, C; Czimczik, CI; Schulze, ED",Beyond annual budgets: carbon flux at different temporal scales in fire-prone Siberian Scots pine forests,10.1034/j.1600-0889.2002.01343.x,Wildfire,Pinus sylvestris-lichen,Siberia,61.560837,89.989351,1,1,Old,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,,,,,,,,,,molC_per_m2_per_yr,,,,ModFrequency,,,,,,,,,,,,,,,,2,,,,,,,,,,,1557_16,,,,,,,,,,,,,,,,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,24.02,yr,,,,
