RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Type,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,SoilC_Binary_Measurements,GPP_Binary_Measurements,Respiration_Binary_Measurements,NEP_Binary_Measurements,NPP_Binary_Measurements,VegChange_Binary_Measurements,N_Binary_Measurements,MCB_Binary_Measurements,Emissions_Binary_Measurements,Mortality_Binary_Measurements,LiveC_units_StockData,DeadC_units_StockData,SoilC_units_StockData,SoilDepth_cm_StockData,MCB_units_StockData,Roots_units_StockData,TotalBG_units_StockData,TotalAG_units_StockData,TEC_Units_StockData,NPP_units_FluxData,GPP_units_FluxData,Resp_units_FluxData,NEP_units_FluxData,EmissionsUnits_EmissionsData,Description_StockData,Description_text_StockData,LiveC_StockData,DeadC_StockData,TotalSoilC_StockData,MCB_StockData,RootC_StockData,TotalBelowgroundC_StockData,TotalAbovegroundC_StockData,TEC_StockData,NPP_FluxData,ANPP_FluxData,BNPP_FluxData,GPP_FluxData,Sresp_FluxData,Ra_FluxData,Rh_FluxData,Reco_FluxData,NEP_FluxData,NBP_FluxData,LiveC_EmissionsData,DeadC_EmissionsData,TotalAboveC_EmissionsData,TotalBelowC_EmissionsData,PyrogenicC_EmissionsData,TotEmissions_EmissionsData,UniqueID,Biome,Biome_simple,LiveC_StockData_MgC_ha,DeadC_StockData_MgC_ha,TotalSoilC_StockData_MgC_ha,TotalSoilC_StockData_MgC_ha_scaled,TotalSoilC_StockData_percent,MCB_StockData_percent,RootC_StockData_MgC_ha,TotalBelowgroundC_StockData_MgC_ha,TotalBelowgroundC_StockData_percent,TotalAbovegroundC_StockData_MgC_ha,TotalAbovegroundC_StockData_percent,TEC_StockData_MgC_ha,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,BNPP_FluxData_g_m2,BNPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,Sresp_FluxData_g_m2,Sresp_FluxData_g_m2_unit,Ra_FluxData_g_m2,Ra_FluxData_g_m2_unit,Rh_FluxData_g_m2,Rh_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,NBP_FluxData_g_m2,NBP_FluxData_g_m2_unit,LiveC_EmissionsData_g_m2,DeadC_EmissionsData_g_m2,TotalAboveC_EmissionsData_g_m2,TotalBelowC_EmissionsData_g_m2,PyrogenicC_EmissionsData_g_m2,TotEmissions_EmissionsData_g_m2
846,1,4,Burn,Burned,5,High,"Lila Bertolin, Maria; Florencia Urretavizcaya, Maria; Emilio Defosse, Guillermo","FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",10.4996/fireecology.1101032,Wildfire,Nothofagus pumilio,Argentina,-42.57,-71.3,1,1,0,0,0,0,0,0,0,0,1,0,MgC_per_hectare,,,,,MgC_per_hectare,,MgC_per_hectare,MgC_per_hectare,,,,,MgC_per_hectare,Burned,,,,,,,,,,,,,,,,,,,,103.1,,104.1,,,104.6,846_1,Temperate Broadleaf & Mixed Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10310,,10410,,,10460
846,2,5,Burn,Burned,30,High,"Lila Bertolin, Maria; Florencia Urretavizcaya, Maria; Emilio Defosse, Guillermo","FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",10.4996/fireecology.1101032,Wildfire,Nothofagus pumilio,Argentina,-42.51,-71.33,1,1,0,0,0,0,0,0,0,0,1,0,MgC_per_hectare,MgC_per_hectare,,,,MgC_per_hectare,,MgC_per_hectare,MgC_per_hectare,,,,,MgC_per_hectare,Burned,,,,,,,,,,,,,,,,,,,,87.2,0.9,89.7,,,90.7,846_2,Temperate Broadleaf & Mixed Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8720,90,8970,,,9070
846,3,6,Burn,Burned,37,High,"Lila Bertolin, Maria; Florencia Urretavizcaya, Maria; Emilio Defosse, Guillermo","FIRE EMISSIONS AND CARBON UPTAKE IN SEVERELY BURNED LENGA BEECH (NOTHOFAGUS PUMILIO) FORESTS OF PATAGONIA, ARGENTINA",10.4996/fireecology.1101032,Wildfire,Nothofagus pumilio,Argentina,-43.48,-71.27,1,1,0,0,0,0,0,0,0,0,1,0,MgC_per_hectare,MgC_per_hectare,,,,MgC_per_hectare,,MgC_per_hectare,MgC_per_hectare,,,,,MgC_per_hectare,Burned,,,,,,,,,,,,,,,,,,,,90.2,2.4,92.4,,,94.7,846_3,Temperate Broadleaf & Mixed Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9020,240,9240,,,9470
882,1,1,Control,Unburned,5,Mixed,"Lucas-Borja, Manuel E.; Delgado-Baquerizo, Manuel; Munoz-Rojas, Miriam; Plaza-Alvarez, Pedro Antonio; Gomez-Sanchez, Maria E.; Gonzalez-Romero, Javier; Pena-Molina, Esther; Moya, Daniel; de las Heras, Jorge",Changes in ecosystem properties after post-fire management strategies in wildfire-affected Mediterranean forests,10.1029/2011JG001910,Wildfire,,Spain,38.3928,-1.6822,0,0,1,0,1,0,0,0,1,1,0,0,,,percent,,,,,,,,,none given,,,Unburned,,,,30.45,,,,,,,,,,0.89,,,,,,,,,,,,882_1,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,,,,,30.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
882,1,2,Burn,Burned,5,Mixed,"Lucas-Borja, Manuel E.; Delgado-Baquerizo, Manuel; Munoz-Rojas, Miriam; Plaza-Alvarez, Pedro Antonio; Gomez-Sanchez, Maria E.; Gonzalez-Romero, Javier; Pena-Molina, Esther; Moya, Daniel; de las Heras, Jorge",Changes in ecosystem properties after post-fire management strategies in wildfire-affected Mediterranean forests,10.1029/2011JG001910,Wildfire,,Spain,38.3928,-1.6822,0,0,1,0,1,0,0,0,1,1,0,0,,,percent,,,,,,,,,none given,,,Burned,Burned and unmanaged,,,29.75,,,,,,,,,,0.94,,,,,,,,,,,,882_1,"Mediterranean Forests, Woodlands & Scrub",Mediterranean,,,,,29.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,1,1,Control,,,Mixed,"Lutz, James A.; Matchett, John R.; Tarnay, Leland W.; Smith, Douglas F.; Becker, Kendall M. L.; Furniss, Tucker J.; Brooks, Matthew L.",Fire and the Distribution and Uncertainty of Carbon Sequestered as Aboveground Tree Biomass in Yosemite and Sequoia & Kings Canyon National Parks,10.1002/hyp.14132,Wildfire,,mixed conifer,37.8959,-119.5399,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,TgC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889_1,Temperate Conifer Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2,2,Control,,,Mixed,"Lutz, James A.; Matchett, John R.; Tarnay, Leland W.; Smith, Douglas F.; Becker, Kendall M. L.; Furniss, Tucker J.; Brooks, Matthew L.",Fire and the Distribution and Uncertainty of Carbon Sequestered as Aboveground Tree Biomass in Yosemite and Sequoia & Kings Canyon National Parks,10.1002/hyp.14132,Wildfire,,mixed conifer,36.9065,-118.5448,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,TgC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,889_2,Temperate Conifer Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,1,3,Burn,Burned,,Mixed,"Lutz, James A.; Matchett, John R.; Tarnay, Leland W.; Smith, Douglas F.; Becker, Kendall M. L.; Furniss, Tucker J.; Brooks, Matthew L.",Fire and the Distribution and Uncertainty of Carbon Sequestered as Aboveground Tree Biomass in Yosemite and Sequoia & Kings Canyon National Parks,10.1002/hyp.14132,Wildfire,,mixed conifer,37.8959,-119.5399,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,TgC,,,,,,,Burned,,,,,,,,25,,,,,,,,,,,,,,,,,,889_1,Temperate Conifer Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
889,2,4,Burn,Burned,,Mixed,"Lutz, James A.; Matchett, John R.; Tarnay, Leland W.; Smith, Douglas F.; Becker, Kendall M. L.; Furniss, Tucker J.; Brooks, Matthew L.",Fire and the Distribution and Uncertainty of Carbon Sequestered as Aboveground Tree Biomass in Yosemite and Sequoia & Kings Canyon National Parks,10.1002/hyp.14132,Wildfire,,mixed conifer,36.9065,-118.5448,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,TgC,,,,,,,Burned,,,,,,,,20,,,,,,,,,,,,,,,,,,889_2,Temperate Conifer Forests,TemperateForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
938,1,1,Control,,47,Mixed,"Mason, Kelly E.; Oakley, Simon; Street, Lorna E.; Arroniz-Crespo, Maria; Jones, David L.; DeLuca, Thomas H.; Ostle, Nicholas J.","Boreal Forest Floor Greenhouse Gas Emissions Across a Pleurozium schreberi-Dominated, Wildfire-Disturbed Chronosequence",10.3390/land6010010,Wildfire,boreal,Sweden,65.4854,19.0207,1,0,1,0,1,1,0,0,1,0,,0,,,,,,,,,,,,,mgC_per_m2_per_hr,,,,,,,,,,,,,,,,,,,,,,,,,,,,938_1,Boreal Forests/Taiga,AlpineBorealForest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hr,,hr,,,,,,
