RecordID,RecordSubID_old,RecordSubID_new,Treatment,Treatment_Severity,TimeSinceFire_years,Study_Severity,Authors,Title,DOI,StudyType,VegCover,GFEDVegCover,Region,Lat,Lon,LiveC_Binary_Measurements,DeadC_Binary_Measurements,TreeAge_Binary_Measurements,Photosynthesis_Binary_Measurements,Sapflow_Binary_Measurements,NPP_Binary_Measurements,GPP_Binary_Measurements,NEP_Binary_Measurements,Ra_Binary_Measurements,NSC_Binary_Measurements,FoliarN_Binary_Measurements,WoodN_Binary_Measurements,PyCChar_Binary_Measurements,Emissions_Binary_Measurements,Regeneration_Binary_Measurements,BAI_treecores_Binary_Measurements,Isotopes_Binary_Measurements,MRT_Binary_Measurements,LiveC_units_StockData,PyC_units_StockData,DeadC_units_StockData,LitterC_units_StockData,TEC_units_StockData,ANPP_units_FluxData,GPP_units_FluxData,Ra_units_FluxData,NPP_units_FluxData,NEP_units_FluxData,Reco_units_FluxData,Photosynthesis_units_FluxData,EmissionsUnits_Emissions,Description_StockData,DescriptionNote_StockData,LiveWoodC_StockData,FoliageC_StockData,TotalLive_StockData,PyC_StockData,CWDC_StockData,FWDC_StockData,LitterC_StockData,TotalDead_StockData,TotalAboveground_StockData,TEC_StockData,ANPP_FluxData,GPP_FluxData,Ra_FluxData,NPP_FluxData,NEP_FluxData,Reco_FluxData,Photosynthesis_num_FluxData,LiveC_Emissions,DeadC_Emissions,ForestFloor_Emissions,LeafLitter_Emissions,TotalAbovegroundC_Emissions,Vcmax_text_Burned1_FluxData,Photosynthesis_text_Burned1_FluxData,BAI_text_Burned1_FluxData,UniqueID,LiveWoodC_StockData_MgC_ha,FoliageC_StockData_MgC_ha,TotalLive_StockData_MgC_ha,TotalAboveground_StockData_MgC_ha,PyC_StockData_MgC_ha,CWDC_StockData_MgC_ha,FWDC_StockData_MgC_ha,TotalDead_StockData_MgC_ha,LitterC_StockData_MgC_ha,TEC_StockData_MgC_ha,LiveWoodC_StockData_percent,FoliageC_StockData_percent,TotalLive_StockData_percent,TotalAboveground_StockData_percent,LitterC_StockData_percent,Biome,Biome_simple,ANPP_FluxData_g_m2,ANPP_FluxData_g_m2_unit,GPP_FluxData_g_m2,GPP_FluxData_g_m2_unit,NPP_FluxData_g_m2,NPP_FluxData_g_m2_unit,NEP_FluxData_g_m2,NEP_FluxData_g_m2_unit,Reco_FluxData_g_m2,Reco_FluxData_g_m2_unit,Photosynthesis_FluxData_g_m2,Photosynthesis_FluxData_g_m2_unit
4,1,1,Control,Unburned,1,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,NA,310,NA,NA,NA,70,NA,NA,NA,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_1,148.8,NA,NA,182.4,NA,33.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,2,Control,Unburned,15,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unburned,Unburned,385,NA,NA,NA,25,NA,NA,NA,410,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_2,184.8,NA,NA,196.8,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,3,Burn,LowSeverity,1,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,45,NA,NA,NA,360,NA,NA,NA,405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_3,21.6,NA,NA,194.4,NA,172.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,4,Burn,LowSeverity,15,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,5,NA,NA,NA,325,NA,NA,NA,330,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_4,2.4,NA,NA,158.4,NA,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,5,Burn,HighSeverity,1,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,NA,0,NA,NA,NA,455,NA,NA,NA,455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_5,0,NA,NA,218.4,NA,218.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,6,Burn,HighSeverity,15,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,NA,5,NA,NA,NA,330,NA,NA,NA,335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_6,2.4,NA,NA,160.8,NA,158.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,1,7,Burn,HighSeverity,1,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,"high, consumed",0,NA,NA,NA,320,NA,NA,NA,320,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_7,0,NA,NA,153.6,NA,153.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2,8,Burn,HighSeverity,15,Mixed,"Acker, Steven A.; Kertis, Jane A.; Pabst, Robert J.","Tree regeneration, understory development, and biomass dynamics following wildfire in a mountain hemlock (Tsuga mertensiana) forest",10.1016/j.foreco.2016.09.047,Wildfire,old-growth hemlock forest,TEMF,USA,43.46,-121.59,1,1,Seedling,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Mg_per_hectare,NA,Mg_per_hectare,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HighSeverity,"high, consumed",3,NA,NA,NA,217,NA,NA,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4_8,1.44,NA,NA,105.6,NA,104.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,Temperate Conifer Forests,TemperateForest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,1,Control,PreFire,0.1,Mixed,"Alexou, Maria; Dimitrakopoulos, Alexandros P.",Early physiological consequences of fire as an abiotic stressor in metabolic source and sink of young Brutian pine (Pinus brutia Ten.),10.1093/treephys/tpu098,RxFire,Pinus brutia,TEMF,Greece,NA,NA,0,0,Young (10-16 years),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PreFire,Pre-fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23_1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,1,2,Burn,LowSeverity,0.1,Mixed,"Alexou, Maria; Dimitrakopoulos, Alexandros P.",Early physiological consequences of fire as an abiotic stressor in metabolic source and sink of young Brutian pine (Pinus brutia Ten.),10.1093/treephys/tpu098,RxFire,Pinus brutia,TEMF,Greece,NA,NA,0,0,Young (10-16 years),0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,LowSeverity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23_2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
